TEAM,STATUS,PLAYER,POS.,BASE SALARY,SIGNING BONUS,ROSTER BONUS,OPTION BONUS,WORKOUT BONUS,RESTRUC. BONUS,MISC.,DEAD CAP,CAP HIT,CAP %
jax,active,Andrew Norwell,G,"$9,000,000 ","$6,000,000 ",-,-,-,-,-,"($15,000,000)","$15,000,000 ",7.18
jax,active,Cam Robinson,LT,"$13,754,000 ",-,-,-,-,-,-,"($13,754,000)","$13,754,000 ",6.58
jax,active,Myles Jack,ILB,"$9,500,000 ","$2,400,000 ",-,-,"$250,000 ",-,-,"($16,700,000)","$12,150,000 ",5.81
jax,active,Brandon Linder,C,"$8,000,000 ",-,"$529,412 ",-,-,-,-,"($8,000,000)","$8,529,412 ",4.08
jax,active,Trevor Lawrence,QB,"$660,000 ","$6,029,725 ",-,-,-,-,-,"($27,598,900)","$6,689,725 ",3.2
jax,active,Josh Allen,OLB,"$2,562,513 ","$3,640,025 ",-,-,-,-,-,"($7,280,050)","$6,202,538 ",2.97
jax,active,Shaquill Griffin,CB,"$1,000,000 ","$4,000,000 ","$352,932 ",-,"$500,000 ",-,-,"($24,500,000)","$5,852,932 ",2.8
jax,active,Marvin Jones,WR,"$1,075,000 ","$2,712,500 ","$300,000 ",-,"$200,000 ",-,-,"($9,000,000)","$4,287,500 ",2.05
jax,active,Roy Robertson-Harris,DT,"$1,000,000 ","$2,333,333 ","$188,235 ",-,"$400,000 ",-,-,"($14,000,000)","$3,921,568 ",1.88
jax,active,Dawuane Smoot,DE,"$1,000,000 ","$2,125,000 ","$188,235 ",-,"$200,000 ",-,-,"($5,250,000)","$3,513,235 ",1.68
jax,active,Malcom Brown,DT,"$1,600,000 ","$1,500,000 ","$229,411 ",-,"$100,000 ",-,-,"($7,600,000)","$3,429,411 ",1.64
jax,active,Taven Bryan,DT,"$1,864,767 ","$1,366,356 ",-,-,-,-,-,"($2,071,241)","$3,231,123 ",1.55
jax,active,K’Lavon Chaisson,OLB,"$1,216,573 ","$1,816,293 ",-,-,-,-,-,"($8,488,599)","$3,032,866 ",1.45
jax,active,Chris Manhertz,TE,"$1,000,000 ","$1,125,000 ","$282,353 ",-,"$200,000 ",-,-,"($4,250,000)","$2,607,353 ",1.25
jax,active,Jihad Ward,OLB,"$1,950,000 ","$500,000 ",-,-,"$50,000 ",-,-,"($2,450,000)","$2,500,000 ",1.2
jax,active,Jawaan Taylor,RT,"$1,208,038 ","$931,077 ",-,-,-,-,-,"($3,068,418)","$2,139,115 ",1.02
jax,active,Tre Herndon,CB,"$1,400,000 ","$250,000 ","$235,294 ",-,"$100,000 ",-,-,"($500,000)","$1,985,294 ",0.95
