,Status,Pos.,Cap Hit,Cap %,year,team,ID
0,Active Roster:,OLB,14833333,7.66,2019,arz,arz_2019
1,Active Roster:,WR,11750000,6.07,2019,arz,arz_2019
2,Active Roster:,RB,9656250,4.99,2019,arz,arz_2019
3,Active Roster:,LT,9625000,4.97,2019,arz,arz_2019
4,Active Roster:,CB,8002235,4.13,2019,arz,arz_2019
5,Active Roster:,G,7750000,4.0,2019,arz,arz_2019
6,Active Roster:,ILB,6400000,3.31,2019,arz,arz_2019
7,Active Roster:,QB,6392481,3.3,2019,arz,arz_2019
8,Active Roster:,DT,4687500,2.42,2019,arz,arz_2019
9,Active Roster:,G,4000000,2.07,2019,arz,arz_2019
10,Active Roster:,ILB,3675809,1.9,2019,arz,arz_2019
11,Active Roster:,P,2000000,1.03,2019,arz,arz_2019
12,Active Roster:,TE,1968750,1.02,2019,arz,arz_2019
13,Active Roster:,QB,1875000,0.97,2019,arz,arz_2019
14,Active Roster:,SS,1862729,0.96,2019,arz,arz_2019
15,Active Roster:,G,1718750,0.89,2019,arz,arz_2019
16,Active Roster:,C,1555000,0.8,2019,arz,arz_2019
17,Active Roster:,CB,1452636,0.75,2019,arz,arz_2019
18,Active Roster:,WR,1339742,0.69,2019,arz,arz_2019
19,Active Roster:,RB,1072059,0.55,2019,arz,arz_2019
20,Active Roster:,TE,1055000,0.54,2019,arz,arz_2019
21,Active Roster:,LS,1048750,0.54,2019,arz,arz_2019
22,Active Roster:,OLB,1000000,0.52,2019,arz,arz_2019
23,Active Roster:,WR,841794,0.43,2019,arz,arz_2019
24,Active Roster:,C,795879,0.41,2019,arz,arz_2019
25,Active Roster:,WR,720000,0.37,2019,arz,arz_2019
26,Active Roster:,RB,683089,0.35,2019,arz,arz_2019
27,Active Roster:,SS,662941,0.34,2019,arz,arz_2019
28,Active Roster:,K,645000,0.33,2019,arz,arz_2019
29,Active Roster:,ILB,645000,0.33,2019,arz,arz_2019
30,Active Roster:,S,645000,0.33,2019,arz,arz_2019
31,Active Roster:,DT,615588,0.32,2019,arz,arz_2019
32,Active Roster:,S,582208,0.3,2019,arz,arz_2019
33,Active Roster:,S,580730,0.3,2019,arz,arz_2019
34,Active Roster:,WR,573333,0.3,2019,arz,arz_2019
35,Active Roster:,OLB,572000,0.3,2019,arz,arz_2019
36,Active Roster:,ILB,571000,0.29,2019,arz,arz_2019
37,Active Roster:,T,570000,0.29,2019,arz,arz_2019
38,Active Roster:,WR,550588,0.28,2019,arz,arz_2019
39,Active Roster:,WR,547328,0.28,2019,arz,arz_2019
40,Active Roster:,G,542034,0.28,2019,arz,arz_2019
41,Active Roster:,DE,513644,0.27,2019,arz,arz_2019
42,Active Roster:,T,513644,0.27,2019,arz,arz_2019
43,Active Roster:,CB,268232,0.14,2019,arz,arz_2019
44,Active Roster:,DT,203823,0.11,2019,arz,arz_2019
45,Active Roster:,DT,151764,0.08,2019,arz,arz_2019
46,Active Roster:,TE,134117,0.07,2019,arz,arz_2019
47,Active Roster:,CB,134117,0.07,2019,arz,arz_2019
48,Active Roster:,DE,134117,0.07,2019,arz,arz_2019
49,Active Roster:,OLB,75882,0.04,2019,arz,arz_2019
50,Active Roster:,ILB,67058,0.03,2019,arz,arz_2019
51,Active Roster:,CB,58235,0.03,2019,arz,arz_2019
52,Active Roster:,QB,29118,0.02,2019,arz,arz_2019
0,Injured Reserve:,CB,6000000,3.1,2019,arz,arz_2019
1,Injured Reserve:,RT,4915000,2.54,2019,arz,arz_2019
2,Injured Reserve:,DE,1750000,0.9,2019,arz,arz_2019
3,Injured Reserve:,OLB,1515625,0.78,2019,arz,arz_2019
4,Injured Reserve:,RT,1191176,0.62,2019,arz,arz_2019
5,Injured Reserve:,DE,1162500,0.6,2019,arz,arz_2019
6,Injured Reserve:,CB,908676,0.47,2019,arz,arz_2019
7,Injured Reserve:,DE,820000,0.42,2019,arz,arz_2019
8,Injured Reserve:,DE,732511,0.38,2019,arz,arz_2019
9,Injured Reserve:,WR,579126,0.3,2019,arz,arz_2019
10,Injured Reserve:,CB,570000,0.29,2019,arz,arz_2019
11,Injured Reserve:,RB,519528,0.27,2019,arz,arz_2019
12,Injured Reserve:,TE,493235,0.25,2019,arz,arz_2019
13,Injured Reserve:,FS,453000,0.23,2019,arz,arz_2019
14,Injured Reserve:,T,380333,0.2,2019,arz,arz_2019
15,Injured Reserve:,OLB,151764,0.08,2019,arz,arz_2019
0,NFI:,RT,495000,0.26,2019,arz,arz_2019
0,Practice Squad:,RB,96000,0.05,2019,arz,arz_2019
1,Practice Squad:,DT,24000,0.01,2019,arz,arz_2019
2,Practice Squad:,LB,16000,0.01,2019,arz,arz_2019
0,Dead:,QB,8158776,4.21,2019,arz,arz_2019
1,Dead:,TE,5750000,2.97,2019,arz,arz_2019
2,Dead:,QB,5000000,2.58,2019,arz,arz_2019
3,Dead:,OLB,4647058,2.4,2019,arz,arz_2019
4,Dead:,FS,4312500,2.23,2019,arz,arz_2019
5,Dead:,G,3742500,1.93,2019,arz,arz_2019
6,Dead:,QB,3000000,1.55,2019,arz,arz_2019
7,Dead:,DT,3000000,1.55,2019,arz,arz_2019
8,Dead:,WR,2375000,1.23,2019,arz,arz_2019
9,Dead:,FS,2159168,1.12,2019,arz,arz_2019
10,Dead:,RT,1292500,0.67,2019,arz,arz_2019
11,Dead:,DE,1213747,0.63,2019,arz,arz_2019
12,Dead:,CB,1077204,0.56,2019,arz,arz_2019
13,Dead:,ILB,666667,0.34,2019,arz,arz_2019
14,Dead:,WR,400000,0.21,2019,arz,arz_2019
15,Dead:,CB,357353,0.18,2019,arz,arz_2019
16,Dead:,RB,284117,0.15,2019,arz,arz_2019
17,Dead:,CB,233176,0.12,2019,arz,arz_2019
18,Dead:,OLB,223764,0.12,2019,arz,arz_2019
19,Dead:,WR,176572,0.09,2019,arz,arz_2019
20,Dead:,G,169411,0.09,2019,arz,arz_2019
21,Dead:,DT,169136,0.09,2019,arz,arz_2019
22,Dead:,DE,162500,0.08,2019,arz,arz_2019
23,Dead:,WR,150000,0.08,2019,arz,arz_2019
24,Dead:,WR,136000,0.07,2019,arz,arz_2019
25,Dead:,C,136000,0.07,2019,arz,arz_2019
26,Dead:,T,134064,0.07,2019,arz,arz_2019
27,Dead:,TE,130644,0.07,2019,arz,arz_2019
28,Dead:,CB,128054,0.07,2019,arz,arz_2019
29,Dead:,G,126620,0.07,2019,arz,arz_2019
30,Dead:,TE,121823,0.06,2019,arz,arz_2019
31,Dead:,ILB,113823,0.06,2019,arz,arz_2019
32,Dead:,WR,105666,0.05,2019,arz,arz_2019
33,Dead:,T,105412,0.05,2019,arz,arz_2019
34,Dead:,CB,104000,0.05,2019,arz,arz_2019
35,Dead:,QB,96000,0.05,2019,arz,arz_2019
36,Dead:,DE,90000,0.05,2019,arz,arz_2019
37,Dead:,DT,90000,0.05,2019,arz,arz_2019
38,Dead:,P,58235,0.03,2019,arz,arz_2019
39,Dead:,CB,56000,0.03,2019,arz,arz_2019
40,Dead:,RB,50484,0.03,2019,arz,arz_2019
41,Dead:,OLB,40000,0.02,2019,arz,arz_2019
42,Dead:,ILB,37941,0.02,2019,arz,arz_2019
43,Dead:,RB,37941,0.02,2019,arz,arz_2019
44,Dead:,S,35045,0.02,2019,arz,arz_2019
45,Dead:,WR,32000,0.02,2019,arz,arz_2019
46,Dead:,CB,32000,0.02,2019,arz,arz_2019
47,Dead:,RB,32000,0.02,2019,arz,arz_2019
48,Dead:,DE,32000,0.02,2019,arz,arz_2019
49,Dead:,QB,26333,0.01,2019,arz,arz_2019
50,Dead:,OLB,24000,0.01,2019,arz,arz_2019
51,Dead:,T,17267,0.01,2019,arz,arz_2019
52,Dead:,OLB,16000,0.01,2019,arz,arz_2019
53,Dead:,LB,10333,0.01,2019,arz,arz_2019
54,Dead:,G,8000,0.0,2019,arz,arz_2019
55,Dead:,S,4000,0.0,2019,arz,arz_2019
56,Dead:,RB,3333,0.0,2019,arz,arz_2019
57,Dead:,DT,2666,0.0,2019,arz,arz_2019
58,Dead:,T,2000,0.0,2019,arz,arz_2019
59,Dead:,TE,1333,0.0,2019,arz,arz_2019
0,Active Roster:,QB,15800000,8.33,2019,atl,atl_2019
1,Active Roster:,DE,12810000,6.75,2019,atl,atl_2019
2,Active Roster:,C,11050000,5.82,2019,atl,atl_2019
3,Active Roster:,DT,11000000,5.8,2019,atl,atl_2019
4,Active Roster:,WR,10366667,5.46,2019,atl,atl_2019
5,Active Roster:,LT,7589200,4.0,2019,atl,atl_2019
6,Active Roster:,RB,6750000,3.56,2019,atl,atl_2019
7,Active Roster:,ILB,5026482,2.65,2019,atl,atl_2019
8,Active Roster:,DE,4484375,2.36,2019,atl,atl_2019
9,Active Roster:,G,4333333,2.28,2019,atl,atl_2019
10,Active Roster:,DT,3658334,1.93,2019,atl,atl_2019
11,Active Roster:,SS,3375000,1.78,2019,atl,atl_2019
12,Active Roster:,RT,3218750,1.7,2019,atl,atl_2019
13,Active Roster:,G,2674319,1.41,2019,atl,atl_2019
14,Active Roster:,TE,2218357,1.17,2019,atl,atl_2019
15,Active Roster:,OLB,2166382,1.14,2019,atl,atl_2019
16,Active Roster:,TE,2150000,1.13,2019,atl,atl_2019
17,Active Roster:,C,2058096,1.08,2019,atl,atl_2019
18,Active Roster:,DE,1980000,1.04,2019,atl,atl_2019
19,Active Roster:,RT,1866498,0.98,2019,atl,atl_2019
20,Active Roster:,QB,1405000,0.74,2019,atl,atl_2019
21,Active Roster:,CB,1053783,0.56,2019,atl,atl_2019
22,Active Roster:,LS,930000,0.49,2019,atl,atl_2019
23,Active Roster:,DT,826490,0.44,2019,atl,atl_2019
24,Active Roster:,FB,805000,0.42,2019,atl,atl_2019
25,Active Roster:,RB,735000,0.39,2019,atl,atl_2019
26,Active Roster:,DT,735000,0.39,2019,atl,atl_2019
27,Active Roster:,WR,735000,0.39,2019,atl,atl_2019
28,Active Roster:,SS,735000,0.39,2019,atl,atl_2019
29,Active Roster:,CB,735000,0.39,2019,atl,atl_2019
30,Active Roster:,S,720000,0.38,2019,atl,atl_2019
31,Active Roster:,CB,717230,0.38,2019,atl,atl_2019
32,Active Roster:,CB,684922,0.36,2019,atl,atl_2019
33,Active Roster:,RB,645000,0.34,2019,atl,atl_2019
34,Active Roster:,DE,617098,0.33,2019,atl,atl_2019
35,Active Roster:,WR,609048,0.32,2019,atl,atl_2019
36,Active Roster:,LB,606657,0.32,2019,atl,atl_2019
37,Active Roster:,RB,572891,0.3,2019,atl,atl_2019
38,Active Roster:,T,572500,0.3,2019,atl,atl_2019
39,Active Roster:,WR,496666,0.26,2019,atl,atl_2019
40,Active Roster:,TE,495000,0.26,2019,atl,atl_2019
41,Active Roster:,SS,469411,0.25,2019,atl,atl_2019
42,Active Roster:,K,341470,0.18,2019,atl,atl_2019
43,Active Roster:,WR,291176,0.15,2019,atl,atl_2019
44,Active Roster:,WR,268235,0.14,2019,atl,atl_2019
45,Active Roster:,DT,232944,0.12,2019,atl,atl_2019
46,Active Roster:,P,189411,0.1,2019,atl,atl_2019
47,Active Roster:,G,169411,0.09,2019,atl,atl_2019
48,Active Roster:,CB,142058,0.07,2019,atl,atl_2019
49,Active Roster:,S,100588,0.05,2019,atl,atl_2019
50,Active Roster:,G,67058,0.04,2019,atl,atl_2019
51,Active Roster:,DE,58235,0.03,2019,atl,atl_2019
0,Suspended:,CB,553497,0.29,2019,atl,atl_2019
0,Injured Reserve:,CB,13900000,7.33,2019,atl,atl_2019
1,Injured Reserve:,FS,3416523,1.8,2019,atl,atl_2019
2,Injured Reserve:,G,2875000,1.52,2019,atl,atl_2019
3,Injured Reserve:,DE,2786326,1.47,2019,atl,atl_2019
4,Injured Reserve:,P,2545000,1.34,2019,atl,atl_2019
5,Injured Reserve:,WR,2477434,1.31,2019,atl,atl_2019
6,Injured Reserve:,DE,735000,0.39,2019,atl,atl_2019
7,Injured Reserve:,FS,735000,0.39,2019,atl,atl_2019
8,Injured Reserve:,RB,725218,0.38,2019,atl,atl_2019
9,Injured Reserve:,DE,410294,0.22,2019,atl,atl_2019
10,Injured Reserve:,DT,408000,0.22,2019,atl,atl_2019
11,Injured Reserve:,QB,408000,0.22,2019,atl,atl_2019
12,Injured Reserve:,QB,378000,0.2,2019,atl,atl_2019
13,Injured Reserve:,TE,378000,0.2,2019,atl,atl_2019
14,Injured Reserve:,SS,325941,0.17,2019,atl,atl_2019
0,Practice Squad:,S,136000,0.07,2019,atl,atl_2019
1,Practice Squad:,OLB,16000,0.01,2019,atl,atl_2019
0,Dead:,WR,3870588,2.04,2019,atl,atl_2019
1,Dead:,K,3645834,1.92,2019,atl,atl_2019
2,Dead:,G,2500000,1.32,2019,atl,atl_2019
3,Dead:,RT,1300000,0.69,2019,atl,atl_2019
4,Dead:,CB,1200000,0.63,2019,atl,atl_2019
5,Dead:,TE,1000000,0.53,2019,atl,atl_2019
6,Dead:,DE,940000,0.5,2019,atl,atl_2019
7,Dead:,G,677647,0.36,2019,atl,atl_2019
8,Dead:,G,436306,0.23,2019,atl,atl_2019
9,Dead:,OLB,435877,0.23,2019,atl,atl_2019
10,Dead:,OLB,393379,0.21,2019,atl,atl_2019
