,TEAM,STATUS,PLAYER,POS.,CAP HIT,CAP %,YEAR,,,SALARY CAP,win%,avg_age,WIN%_GRP,POS_GRP,ID,ID,ID,ID,ID,Commas,,,team name on site,,
0,jax,active,Andrew Norwell,G,15000000,7.18,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,arz_2021,arz_2019,"arz_2019,",arz_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Arizona-Cardinals,"Arizona-Cardinals/cap/2019"")","arz_2019 =pd.read_html(""https://www.spotrac.com/nfl/Arizona-Cardinals/cap/2019"")"
1,jax,active,Cam Robinson,LT,13754000,6.58,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,atl_2021,atl_2019,"atl_2019,",atl_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Atlanta-Falcons,"Atlanta-Falcons/cap/2019"")","atl_2019 =pd.read_html(""https://www.spotrac.com/nfl/Atlanta-Falcons/cap/2019"")"
2,jax,active,Myles Jack,ILB,12150000,5.81,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,blt_2021,blt_2019,"blt_2019,",blt_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Baltimore-Ravens,"Baltimore-Ravens/cap/2019"")","blt_2019 =pd.read_html(""https://www.spotrac.com/nfl/Baltimore-Ravens/cap/2019"")"
3,jax,active,Brandon Linder,C,8529412,4.08,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,buf_2021,buf_2019,"buf_2019,",buf_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Buffalo-Bills,"Buffalo-Bills/cap/2019"")","buf_2019 =pd.read_html(""https://www.spotrac.com/nfl/Buffalo-Bills/cap/2019"")"
4,jax,active,Trevor Lawrence,QB,6689725,3.2,2019,2020,2021,182500000,0.176,25.48,low_win%,passer,jax_2019,jax_2020,jax_2021,car_2021,car_2019,"car_2019,",car_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Carolina-Panthers,"Carolina-Panthers/cap/2019"")","car_2019 =pd.read_html(""https://www.spotrac.com/nfl/Carolina-Panthers/cap/2019"")"
5,jax,active,Josh Allen,OLB,6202538,2.97,2019,2020,2021,182500000,0.176,25.48,low_win%,linebacker,jax_2019,jax_2020,jax_2021,chi_2021,chi_2019,"chi_2019,",chi_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Chicago-Bears,"Chicago-Bears/cap/2019"")","chi_2019 =pd.read_html(""https://www.spotrac.com/nfl/Chicago-Bears/cap/2019"")"
6,jax,active,Shaquill Griffin,CB,5852932,2.8,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,cin_2021,cin_2019,"cin_2019,",cin_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Cincinnati-Bengals,"Cincinnati-Bengals/cap/2019"")","cin_2019 =pd.read_html(""https://www.spotrac.com/nfl/Cincinnati-Bengals/cap/2019"")"
7,jax,active,Marvin Jones,WR,4287500,2.05,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,cle_2021,cle_2019,"cle_2019,",cle_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Cleveland-Browns,"Cleveland-Browns/cap/2019"")","cle_2019 =pd.read_html(""https://www.spotrac.com/nfl/Cleveland-Browns/cap/2019"")"
8,jax,active,Roy Robertson-Harris,DT,3921568,1.88,2019,2020,2021,182500000,0.176,25.48,low_win%,d-line,jax_2019,jax_2020,jax_2021,dal_2021,dal_2019,"dal_2019,",dal_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Dallas-Cowboys,"Dallas-Cowboys/cap/2019"")","dal_2019 =pd.read_html(""https://www.spotrac.com/nfl/Dallas-Cowboys/cap/2019"")"
9,jax,active,Dawuane Smoot,DE,3513235,1.68,2019,2020,2021,182500000,0.176,25.48,low_win%,d-line,jax_2019,jax_2020,jax_2021,den_2021,den_2019,"den_2019,",den_2019 =,"pd.read_html(""https://www.spotrac.com/nfl/",Denver-Broncos,"Denver-Broncos/cap/2019"")","den_2019 =pd.read_html(""https://www.spotrac.com/nfl/Denver-Broncos/cap/2019"")"
